id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
19	academic performance	-0.635	0.672	1	29	44	5	2020.6	46.2	1.7325
43	adolescent	0.1034	0.337	1	52	121	8	2021.125	344.5	7.7818
45	adult	0.2891	-0.3428	3	84	447	35	2022.3429	84.6571	2.0616
48	affective commitment	-0.8816	-0.2584	4	20	20	5	2023.2	10.4	0.4162
55	aged	0.4056	-0.6222	3	33	63	5	2023.4	417.2	9.5143
94	article	0.3691	-0.0292	2	88	646	63	2022.0476	62.7778	1.8456
95	artificial intelligence	-0.7139	-0.0091	4	35	52	12	2024.1667	53.5	1.6529
112	attitude	-0.1893	-0.2256	3	36	63	6	2022	22	0.7808
127	behavior	-0.0502	-0.321	3	37	66	5	2020.4	22.2	0.6577
135	bibliometric analysis	-0.9792	0.0266	4	5	6	5	2024.4	18.2	0.7882
180	capacity building	1.1056	0.0182	2	32	59	6	2021.1667	12.3333	0.6126
184	career	0.1874	-0.4205	2	43	84	8	2020.875	26.625	0.9902
213	climate change	0.2922	0.9662	1	18	31	5	2021.2	126.4	5.0665
287	controlled study	-0.0275	-0.0557	5	64	194	18	2022.6111	20.5	0.9902
296	coronavirus disease 2019	0.0731	0.7451	1	47	115	9	2023	250.7778	6.0252
304	covid-19	-0.0821	0.7051	1	54	124	13	2023.1538	174.5385	4.5526
316	cross-sectional study	0.2243	-0.8273	3	46	96	8	2021.375	9.625	0.2892
323	curriculum	0.0426	0.1291	2	44	77	7	2022.5714	23.5714	0.873
348	decision making	-0.0787	0.5744	1	60	141	33	2022.2727	109.3636	3.9135
423	e-learning	-0.4655	0.8378	1	34	57	6	2022.3333	32.6667	1.2369
439	education	-0.0552	0.3355	1	64	175	21	2022.0952	17.7619	0.6914
458	educational institutions	-0.864	-0.1202	4	6	6	10	2023.3	4.4	0.1849
462	educational status	-0.3492	0.2819	1	33	52	5	2023.8	14.2	0.4225
490	employee	-0.3857	-0.4782	4	31	44	6	2022.6667	15.8333	0.6183
497	employee engagement	-1.0286	-0.3549	4	17	21	17	2022.5882	4.9412	0.2735
504	employee performance	-0.9307	-0.3989	4	20	23	12	2024.3333	7.5833	0.8306
513	employment	-0.4475	-0.3131	3	36	56	6	2023.3333	5.8333	0.2641
515	empowerment	0.2392	0.5035	1	40	61	10	2023.7	59.5	2.5684
581	faculty	-0.1446	-0.8825	3	40	94	8	2022.5	5.625	0.4192
604	female	0.2775	-0.204	3	85	502	41	2022.2439	73.4634	1.8939
642	gender	-0.5114	0.5816	1	32	50	6	2022.1667	34.8333	1.2388
667	global health	0.9157	0.164	2	40	77	7	2019.8571	365	8.0081
675	government	0.746	0.202	2	44	82	6	2022.6667	12.5	0.6751
697	health care delivery	0.6917	0.4345	2	31	56	5	2020.6	16.4	0.6052
702	health care personnel	0.4354	0.3441	3	40	81	7	2021.4286	71	1.2223
755	higher education	-0.7451	0.1184	4	54	137	73	2023.1233	15.0822	0.6787
757	higher education institutions	-0.883	0.1312	4	14	21	9	2022.7778	27.1111	0.9762
780	human	0.2381	0.0681	2	89	764	74	2022.0811	55.5	1.6023
783	human experiment	-0.2484	-0.4564	4	48	114	11	2021	10.7273	0.4536
796	humans	0.369	0.1326	2	85	570	49	2021.8776	80.4082	2.2646
820	india	0.0783	-0.1236	2	87	407	50	2021.46	21.86	0.6412
850	institutional framework	-0.7294	0.5346	1	16	27	6	2022.6667	22.5	1.2329
